Title,Location,Company,Salary,Rating,Summary,Description
Estágio de tratamento de imagem,"São Paulo, SP",Westwing,None,"3,4",O Westwing está com vagas abertas para estágio em tratamento de imagem! Quer trabalhar em uma empresa descontraída com um ambiente colaborativo? Entende de Photoshop e edição? Curte trabalho em…,None
Programa de Estágio Tech,"São Paulo, SP",Amzn Servicos de Varejo do Bra,None,"3,5","Knowledge of Computer Science fundamentals such as object-oriented design, algorithm design, data structures, problem solving, and complexity analysis.",None
Estágio em Marketing e Produtos,"São Paulo, SP",Camesa,R$ 1.045 - R$ 1.500 por mês,None,"Buscamos alguém com esse perfil para cuidar das nossas redes sociais.Requisitos Estar cursando Publicidade, Comunicação, Design, RP, Jornalismo ou similar (com previsão para conclusão em 2022);…",None
Programa de Estágio Tech - Software Developer Intern,"São Paulo, SP",Amzn Servicos de Varejo do Bra,None,"3,5","Knowledge of Computer Science fundamentals such as object-oriented design, algorithm design, data structures, problem solving, and complexity analysis.",None
Estágio em Marketing e Produtos,"São Paulo, SP",Camesa,R$ 1.045 - R$ 1.500 por mês,None,"Buscamos alguém com esse perfil para cuidar das nossas redes sociais.Requisitos Estar cursando Publicidade, Comunicação, Design, RP, Jornalismo ou similar (com previsão para conclusão em 2022);…",None
Estágio em Design,"São Paulo, SP",Z-Tech,None,None,"Atualmente deve estar cursando um curso relacionado a Design;Time que valoriza o feedback;Ficamos na Rua Amauri, 227 - Jardim Europa.",None
Estagiário de Design ou Publicidade e Propaganda,"São Paulo, SP",Tela Brasileira,R$ 1.102 por mês,None,"CriaÃ§Ã£o/design de peÃ§as web e apresentaÃ§Ãµes;EstagiÃ¡rio de Design ou Publicidade e Propaganda, para atuaÃ§Ã£o na Ã¡rea de pÃ³s produÃ§Ã£o.Conhecimento de pacote Adobe (Photoshop, Illustrator,…",None
Estagiário de Inovação,"São Paulo, SP",Programa de Estágio Saphyr - 2021,R$ 1.500 por mês,None,"Participação em rotinas junto ao time de inovação contribuindo de forma criativa e crítica para as discussões;Preferencialmente ter fluência em inglês, pois a maioria dos conteúdos de inovação são em…",None
Est´ágio de Criação,"São Paulo, SP",Leven Desenvolvimento em RH,R$ 2.200 por mês,None,Debater e criar soluções visuais para marcas e campanhas (on e off); - Atender as demandas recorrentes no desenvolvimento de peças digitais para Social Media Marketing e Inbound Marketing; - Atender…,None
Estágio em comunicação/Design Gráfico/Artes visuais,"São Paulo, SP",GESTÃO HUMANA SOLUÇÕES EM RH,R$ 1.045 - R$ 1.100 por mês,None,"Estar cursando Design Gráfico / Artes Visuais / ou Comunicação (Propaganda e Marketing) a partir do 3º semestre.Ajudar nas funções de marketing, personalizar visualmente conceitos e conteúdos, criar…",None
