Title,Location,Company,Salary,Rating,Summary,Description
Analista de Planejamento de Materiais Pl - Pivo - Geral,"Pomerode, SC",Grupo Kyly,None,"4,1","A nossa essência está baseada na Missão de Encantar e facilitar a vida das pessoas, para isso usamos nossos Valores de Integridade, Qualidade, Sustentabilidade…",None
JBS Novos Negócios - Analista de Pricingnova,"São Paulo, SP",JBS,None,"3,9","Há mais de 6 décadas trabalhamos com foco em excelência, inovação, segurança dos alimentos e práticas de sustentabilidade.Venha fazer parte da JBS!",None
ANALISTA DE DESIGNER SENIOR,"Jaraguá do Sul, SC",GRUPO MALWEE,None,"4,2","Com sustentabilidade, qualidade e respeito às pessoas e ao planeta.Você adora trabalhar com design?Se identifica com a moda infantil?",None
Analista de Planejamento Financeiro PL (Foco em Logística),"Curitiba, PR",MadeiraMadeira,None,"3,3","Resultado e Visão de Longo Prazo: Que entregam resultados consistentes de alta performance, garantindo a escalabilidade e sustentabilidade do negócio.",None
Analista Laboratório Júnior,"Criciúma, SC",Duratex,None,"4,5","A Portinari é a única marca brasileira do setor que pratica sustentabilidade com certificação LEED Compliance, concedida pelo Scientific Certification Systems –…",None
Analista de TI Sênior - SAP SD e LE,"São Gonçalo do Amarante, CE",Companhia Siderúrgica do Pecém,None,"4,1","Em sintonia com suas diretrizes estratégicas, o investimento em sustentabilidade da siderúrgica chega a R$ 1 bilhão.Essa empresa é a CSP.",None
Analista de Qualidade Sênior,"Manaus, AM",Mappit,None,None,Verificar resolução e sustentabilidade da tratativa dos problemas que afetam a qualidade do produto;Venha fazer parte de uma grande multinacional do setor…,None
Analista de Crédito (InvestMais),"São Paulo, SP",Loft,None,None,"Que a tecnologia está a serviço da sustentabilidade, necessidades e desejos do ser humano.A Loft é uma plataforma digital, que utiliza tecnologia e a…",None
Analista de Crédito (InvestMais),"São Paulo, SP",Loft,None,None,Tem conhecimento sobre o mercado de crédito imobiliário;,None
Analista Ambiental,"Betim, MG",Recicla Club Gestão de Resíduos,R$ 2.000 - R$ 2.500 por mês,None,Tenha PAIXÃO por liderar pessoas e projetos.Tenha postura executiva e saiba lidar com todas as pessoas (operação e diretoria).Saiba escutar e tenha empatia.,None
Analista de Qualidade Sênior,"Manaus, AM",Mappit,None,None,Propor melhoria contínua melhorando a eficiência dos processos para atingimento das metas dos KPIs da planta.,None
ANALISTA DE TESTE / QA,"Rio de Janeiro, RJ",MGN,None,None,Possuir boa comunicação e garantir clareza/objetividade em todos os reports criados e contato com o time.Nós somos uma empresa sólida com mais de 40 anos no…,None
Analista de Cadastro de Produto JR,"Curitiba, PR",MadeiraMadeira,None,"3,3",Vending machines para comprar aquele snack.,None
Seara/ITJ - Analista de Engenharia de Dados SR,"Itajaí, SC",JBS,None,"3,9","Desenhar os processos de Integração de Dados considerando o uso de SQL, mas também ferramentas de Big Data (Hive, Hadoop, HQL).",None
ANALISTA DE REMUNERAÇÃO E BENEFÍCIOS,"São Paulo, SP",GRUPO MALWEE,None,"4,2","Atuar na revisão da estrutura organizacional (redimensionamento, hierarquias, etc).""O Grupo Malwee respeita e incentiva a diversidade e inclusão.",None
Analista de Suprimentos Sr.,Brasil,Petra Executive Search,None,None,"Analítico, lógico, com facilidade para trabalhar em equipes cross-funcional e habilidade para transitar e influenciar em diversos níveis de hierarquia.",None
Analista de Segurança da Informação JR,"Curitiba, PR",MadeiraMadeira,None,"3,3","Durante a pandemia, trabalho remoto.Temos DOIS Pokéstops no prédio.Vale Refeição + Vale Alimentação.",None
Seara/ITJ - ANALISTA DE IMPORTAÇÃO PL,"Itajaí, SC",JBS,None,"3,9",Formação em Comércio Exterior ou Logística.,None
Analista de Dados SR (Data Visualization),"Curitiba, PR",MadeiraMadeira,None,"3,3",Analisar problemáticas da área de negócio que podem ser respondidas com dados.Orientar e auxiliar na capacitação da equipe de Data Visualization.,None
Analista de TI Sênior - Infraestrutura,"São Gonçalo do Amarante, CE",Companhia Siderúrgica do Pecém,None,"4,1","Em sintonia com suas diretrizes estratégicas, o investimento em sustentabilidade da siderúrgica chega a R$ 1 bilhão.",None
Analista de TI - Sistemas,"São Gonçalo do Amarante, CE",Companhia Siderúrgica do Pecém,None,"4,1","Em sintonia com suas diretrizes estratégicas, o investimento em sustentabilidade da siderúrgica chega a R$ 1 bilhão.Participar de projetos de soluções de TI;",None
Analista de Gerenciamentos de Projetos - PL/SR,"Campinas, SP",SiDi,None,"3,8","Acompanhamento das atividades projetos garantindo a efetividade da equipe;Experiência no uso de ferramentas de gestão como MS-Project, Jira, Confluence;",None
Analista Laboratório Júnior,"Criciúma, SC",Duratex,None,"4,5","A Portinari é a única marca brasileira do setor que pratica sustentabilidade com certificação LEED Compliance, concedida pelo Scientific Certification Systems –…",None
Analista de TI Sênior - SAP SD e LE,"São Gonçalo do Amarante, CE",Companhia Siderúrgica do Pecém,None,"4,1","Em sintonia com suas diretrizes estratégicas, o investimento em sustentabilidade da siderúrgica chega a R$ 1 bilhão.Domínio de inglês será um diferencial.",None
Analista de Qualidade de Transportes PL (Itajaí-SC),"Itajaí, SC",MadeiraMadeira,None,"3,3","Acompanhamento da operação (Recebimento, Carregamento, Frota, Triagem).Programa de vantagens com descontos em diversos estabelecimentos em todo o país;",None
Analista de Segurança da Informação SR,"Curitiba, PR",MadeiraMadeira,None,"3,3",Além disso também participará das avaliações de novas soluções mantendo o conceito de Security by design dentro dos projetos internos da companhia.,None
Gerente Sr de Engajamento Experiência do Cliente,"Curitiba, PR",MadeiraMadeira,None,"3,3",Garantir o engajamento do time nas plataformas e conteúdos de ensino;Ser o guardião e multiplicador de ferramentas de melhoria (PDCA) e de problem solving;,None
Novos Negócios | Biopeptídeos - Analista de Manutenção Sênio...,"Presidente Epitácio, SP",JBS,None,"3,9","Realizar intervenção e desenvolvimentos de software em sistema de automação e manutenções em máquinas industriais utilizando ferramentas correlacionadas (PLC,…",None
Analista Contábil SR,"Curitiba, PR",MadeiraMadeira,None,"3,3",Experiência com o ERP Totvs (Protheus) - diferencial.Pós-graduação em Contabilidade - diferencial.,None
Analista de Negócios SR,"Curitiba, PR",MadeiraMadeira,None,"3,3","Oportunidade para trabalhar no time de tecnologia do mais novo unicórnio do Brasil!!!Você vai trabalhar em contato com diferentes áreas como Comercial,…",None
Analista de Expansão,"Rio de Janeiro, RJ",LafargeHolcim Brasil,None,"4,0",Apoiar o time de Consultores de expansão da Franquia.Apoiar o atingimento das metas qualitativas e quantitativas.Apoiar os eventos de expansão da Franquia.,None
ANALISTA DE EDUCAÇÃO E SUSTENTABILIDADE PLENO,"Belo Horizonte, MG",GENTE E GESTÃO RH LTDA,R$ 5.997 por mês,None,"Desdobra o escopo dos projetos, metodologia, recursos, cronograma, logística, equipes envolvidas;Assegurar o cumprimento das normas e legislações vigentes…",None
Analista de Planejamento Financeiro PL (Foco em Logística),"Curitiba, PR",MadeiraMadeira,None,"3,3","Atuar no processo de fechamento mensal, com visão crítica, buscando melhorias e correções de problemas;Suporte no processo mensal de Forecast visando antecipar…",None
Analista de Segurança do Trabalho - Governador Celso Ramos (...,"Governador Celso Ramos, SC",Luandre Soluções em RH,R$ 6.022 por mês,"4,3",Gerenciar rotinas das equipes de Segurança do Trabalho (colaboradores próprios e parceiros logísticos);Garantir o cumprimento de prazos e o alinhamento de…,None
Analista de Remuneração Sr,"Santo André, SP",CVC Corp,None,"4,5",Experiência anterior em gestão de incentivos de longo prazo.Total Pass e também descontos em academias e comércios na região de Santo André.,None
Técnico de Inspeção e Planejamento Mecânico III (Área da Aci...,"São Gonçalo do Amarante, CE",Companhia Siderúrgica do Pecém,None,"4,1","Em sintonia com suas diretrizes estratégicas, o investimento em sustentabilidade da siderúrgica chega a R$ 1 bilhão.",None
Analista de Planejamento Financeiro SR (Business Partner de...,"Curitiba, PR",MadeiraMadeira,None,"3,3",Atuando sempre em conjunto com o time de negócios focando no futuro da organização.Atuar como Busniess Partner de FP&A para diferentes negócios da…,None
Novos Negócios | Higiene e Limpeza - Analista de PCP,"Lins, SP",JBS,None,"3,9",Realizar apontamento das produções realizadas e gerar report diários para as Gerências e Diretoria;,None
Analista de Qualidade Sr. (PMP),"Manaus, AM",BMW Group Brasil,None,"3,9",Propor melhoria contínua melhorando a eficiência dos processos para atingimento das metas dos KPIs da planta.Conhecimento na ferramenta Six Sigma e experiência…,None
Analista de Operações Júnior - Manutenção,"Maceió, AL",Saphyr,None,"3,5",Somos um time formado por pessoas de alta performance com entregas excelentes!!! Entendemos que o nosso dever com os nossos colaboradores é desenvolvê-los e…,None
Analista Pleno de Gestão de Riscos e Fornecedores,"São Paulo, SP",Braskem,None,"4,4","V) atuar como focal point no RTP (Requisition to Payment) no tema gestão de fornecedores.Conhecimento ferramentas Office 365 (Power BI, Power apps).",None
JBS - Analista de Recursos Humanos Pleno,"São Paulo, SP",JBS,None,"3,9","Aplicará o DISC nos candidatos finalistas antecedendo a etapa cultural da JBS.Experiência com vagas de alta complexidade (TI, Qualidade, Jurídico, Marketing,…",None
Analista de marketplace (Farmer 2),"Curitiba, PR",MadeiraMadeira,None,"3,3",Atendimento comercial de sellers já existentes no Marketplace Madeira Madeira;Identificar sellers potenciais no mercado para direcionar para equipe de hunting;,None
Analista de Sucesso de Implantação (Gerente de Projetos),"Joinville, SC",Soft Expert,None,None,Estar alinhado com os valores da SoftExpert;Facilitar e coordenar o contato com clientes e time do projeto;Vale-Refeição ou Vale-Alimentação (sem desconto);,None
JBS - Analista de Recursos Humanos Júnior,"São Paulo, SP",JBS,None,"3,9",Cumprimento do calendário mensal com as rotinas da área;Horário de trabalho das 08:00 às 18:00 com 01:12 de almoço (restaurante no local);,None
